id_speech,id_extract,emerging_topic,textual_extract
M_34,M_34_peace_and_security,Peace and security,"call for the withdrawal of Israeli forces to the lines of the 8th of December, 2024"
M_34,M_34_migration,Migration,3.5 million refugees and IDPs have returned in a safe and decent way
M_34,M_34_development_sdgs,Development / SDGs,We have started production... increase in agriculture production to ensure self-sufficiency
M_35,M_35_peace_and_security,Peace and security,Russia's war against Ukraine strikes at the very heart of the United Nations Charter
M_35,M_35_climate_change,Climate change,We just witnessed catastrophic flood waves in Nepal... rising seas threaten to raise island nations
M_35,M_35_ai_digital_transformation,AI / digital transformation,"Artificial intelligence offers enormous opportunities. But in the wrong hands, it can also become a powerful tool for deception, disruption and conflict"
M_35,M_35_human_rights,Human rights,help return Ukrainian children deported to Russia... conflict-related sexual violence
M_36,M_36_peace_and_security,Peace and security,"illegal, unprovoked and unjustified war of aggression waged on a large scale against Ukraine"
M_36,M_36_ai_digital_transformation,AI / digital transformation,manipulation via social media... thousands of fake accounts
M_36,M_36_food_security,Food security,"Russia's attacks on ports and grain infrastructure, which have disrupted global food supply chains and heightened food insecurity"
M_36,M_36_development_sdgs,Development / SDGs,Romania has aligned itself with the standards of the Organisation for Economic Co-operation and Development
M_37,M_37_peace_and_security,Peace and security,"Africa is deeply concerned by the persistence of conflicts and crises in the Great Lakes region, Sudan, the Sahel, Somalia."
M_37,M_37_development_sdgs,Development / SDGs,achieving the sustainable development goals in those of Agenda 2063 requires financial means that are commensurate with our ambitions.
M_37,M_37_financing_debt,Financing / debt,"many developing countries face considerable budgetary constraints, high financing costs, and a heavy debt burden."
M_37,M_37_food_security,Food security,"water is life, water is health, water is food."
M_37,M_37_climate_change,Climate change,climate change strikes the most vulnerable populations particularly hard. Africa has contributed little to historical greenhouse gas emissions.
M_37,M_37_human_rights,Human rights,We no longer wish to see the Human Rights Council become a forum for oppressing countries.
M_38,M_38_peace_and_security,Peace and security,"America and Israel attacked us, equipped with the latest technology and weapons systems, and our people stood steadfast."
M_38,M_38_human_rights,Human rights,Palestine remains an open wound on the conscience of the international community and Gaza remains as simple as the failure of international mechanisms to prevent civilian suffering.
M_38,M_38_technology_digital_divide,Technology / digital divide,peaceful nuclear technology is part of our inherent progress; for our sick people is cure and treatment.
M_39,M_39_peace_and_security,Peace and security,Venezuela's transition towards a pluralistic democracy... let us come together to help Venezuela reintegrate into the world.
M_39,M_39_ai_digital_transformation,AI / digital transformation,No force in our time is as profound as artificial intelligence... Artificial intelligence must serve human dignity and not replace it.
M_39,M_39_development_sdgs,Development / SDGs,Paraguay has reduced poverty to levels never seen before... from 58% to 16% faster than any other country in the region.
M_39,M_39_food_security,Food security,Paraguay today feeds 100 million people and with this tool it could feed 1 billion.
M_40,M_40_peace_and_security,Peace and security,Russia's aggression continues to inflict enormous suffering on the Ukrainian people.
M_40,M_40_ai_digital_transformation,AI / digital transformation,this is also the moment to confront the extraordinary pace of advances in artificial intelligence.
M_40,M_40_climate_change,Climate change,This year has once again reminded us of the growing impact of extreme weather.
M_40,M_40_food_security,Food security,"Russia's war has undermined global food security, disrupting agricultural production, exports and supply chains."
M_41,M_41_ai_digital_transformation,AI / digital transformation,the arrival of artificial intelligence... Argentina will stand at the forefront of freedom.
M_41,M_41_global_health,Global health,that is why we decided to leave the World Health Organization.
M_41,M_41_peace_and_security,Peace and security,we condemn the attacks by the Iranian regime against the state of Israel.
M_41,M_41_other,Other,The Malvinas for us are a national cause.
M_42,M_42_peace_and_security,Peace and security,Russia's aggression against Ukraine... a permanent member of the Security Council has been perpetrating a war of aggression.
M_42,M_42_climate_change,Climate change,"Estonia, for example, is contributing its share: we have reduced our emissions by 66% over the past 35 years."
M_42,M_42_ai_digital_transformation,AI / digital transformation,"Artificial Intelligence is here to stay, and to be used to assist us."
M_42,M_42_human_rights,Human rights,"Estonia firmly believes that respect for human rights is a prerequisite for peace, security and prosperity."
M_42,M_42_migration,Migration,the instrumentalization of migration as a means of exerting pressure on countries.
M_42,M_42_food_security,Food security,Russia is putting global food security at grave risk.
M_43,M_43_peace_and_security,Peace and security,Those countries amassing nuclear weapons keep us all living near imminent catastrophe.
M_43,M_43_human_rights,Human rights,"Regarding the situation in Israeli-occupied territories, Gaza and West Bank, Timor-Leste joins with the vast majority of UN Member States to reaffirm our belief that the Two State Solution is the only viable solution."
M_43,M_43_climate_change,Climate change,Timor-Leste reaffirms the principles of climate justice and Common but Differentiated Responsibilities and Respective Capabilities.
M_43,M_43_ai_digital_transformation,AI / digital transformation,"As artificial intelligence and other emerging technologies reshape our societies, developing countries must actively participate in their governance and development."
M_43,M_43_development_sdgs,Development / SDGs,"For SIDS and LDCs, vulnerability cannot be measured by income alone."
M_44,M_44_peace_and_security,Peace and security,The instability in the Sahel region represents an existential threat to the integrity of the states.
M_44,M_44_migration,Migration,relations among its countries should move from beyond merely managing migration and crises towards making the Mediterranean a bridge for development.
M_44,M_44_human_rights,Human rights,"There, the plight of the Palestinian people continues to worsen after decades of occupation, repression and alteration of their identity."
M_45,M_45_climate_change,Climate change,UNEP’s latest findings make clear that the world is now certain to exceed 1.5°C.
M_45,M_45_financing_debt,Financing / debt,Those who contributed the least to this climate crisis... must not be burdened with debt simply to purchase a life jacket for their survival.
M_45,M_45_food_security,Food security,demonstrated that ocean stewardship can protect nature while supporting livelihoods.
M_45,M_45_global_health,Global health,"Globally, nicotine use claims over seven million lives annually with more than a billion trapped in addiction."
M_45,M_45_peace_and_security,Peace and security,The Russia and Ukraine war is a painful reminder of the tragic human toll that occurs when diplomacy gives way to conflict.
M_46,M_46_ai_digital_transformation,AI / digital transformation,"Technology, including Artificial Intelligence, is advancing at rapid speed."
M_46,M_46_climate_change,Climate change,"Rising Temperatures, Water Scarcity and Extreme Weather affect us all."
M_46,M_46_peace_and_security,Peace and security,Fifty-two years have passed since the illegal Turkish invasion of Cyprus.
M_46,M_46_human_rights,Human rights,Violations of fundamental human rights; the destruction of religious and cultural heritage.
M_47,M_47_peace_and_security,Peace and security,"Transnational criminal networks control territories, they traffic arms and people, and they recruit children. Haiti is the clearest example."
M_47,M_47_climate_change,Climate change,"For a small island country, climate change is not an abstract matter."
M_47,M_47_financing_debt,Financing / debt,GDP continues to be used exclusively for concessional financing; calling for a multi-dimensional vulnerability index.
M_47,M_47_development_sdgs,Development / SDGs,We reduced monetary poverty by 25.8% in 2019 to 14.6% in the first six months of this year.
M_47,M_47_migration,Migration,"We will continue to protect our borders, to implement our migratory laws."
M_48,M_48_climate_change,Climate change,"Climate change is no longer tomorrow's warning. It is today's drought in Africa, floods in Asia, rising seas in the Pacific."
M_48,M_48_global_health,Global health,Botswana built one of the world's most comprehensive HIV/AIDS treatment programmes.
M_48,M_48_financing_debt,Financing / debt,Debt sustainability is a question of development and fairness.
M_48,M_48_ai_digital_transformation,AI / digital transformation,"We call on the United Nations to continue to explore the creation of an inclusive international framework on emerging technologies, including Artificial Intelligence."
M_48,M_48_inequality,Inequality,Youth unemployment remains one of the most urgent challenges of our time.
M_49,M_49_peace_and_security,Peace and security,This is the reality that the United Nations must recognize and rise to.
M_49,M_49_financing_debt,Financing / debt,An international mechanism within the framework of the UN to trace and freeze the illicit financial flows from transnational organized crime.
M_49,M_49_development_sdgs,Development / SDGs,We ask that access to cooperation and financing be defined using more fair vulnerability criteria.
M_49,M_49_ai_digital_transformation,AI / digital transformation,One of the greatest challenges of the future is artificial intelligence... We need international governance that enables us to innovate without renouncing our values.
M_49,M_49_climate_change,Climate change,Illegal mining in the Amazon that's destroying forests and funding gangs.
M_50,M_50_peace_and_security,Peace and security,This ridiculous and never-ending war with Ukraine must be ended.
M_50,M_50_ai_digital_transformation,AI / digital transformation,"There is already a real possibility that AI, not only people, will begin to decide what happens on the battlefield."
M_50,M_50_food_security,Food security,"This is about food security. This is about the lives of many, many people in many countries."
M_50,M_50_financing_debt,Financing / debt,Russia's budget deficit is now bigger than in any other year and most Russian regions are already bankrupt.
M_51,M_51_peace_and_security,Peace and security,"The main challenge remains the war against Ukraine, the consequences of which extend far beyond the immediate combat zone."
M_51,M_51_food_security,Food security,The inability to export cereals and fertilizers poses a real risk of famine this winter in a number of countries.
M_51,M_51_ai_digital_transformation,AI / digital transformation,Artificial intelligence must be developed within the framework of international law and under effective human control.
M_51,M_51_human_rights,Human rights,"Bulgaria works towards a public environment where discrimination, racism, anti-Semitism and hate speech have no place."
M_51,M_51_development_sdgs,Development / SDGs,Bulgaria remains committed to implementing the 2030 Agenda for Sustainable Development and accelerating progress in achieving the Sustainable Development Goals.
M_51,M_51_climate_change,Climate change,The resilience and balance of the Black Sea marine ecosystems are threatened by the harmful consequences of the military conflict.
M_52,M_52_peace_and_security,Peace and security,"On all continents, conflicts are multiplying, becoming entrenched, and fueling one another."
M_52,M_52_food_security,Food security,More than 147 million people in 19 countries and territories experienced acute food insecurity caused by conflict in 2025.
M_52,M_52_financing_debt,Financing / debt,Humanitarian funding has fallen to its lowest levels since 2016. Development Aid is crumbling.
M_52,M_52_climate_change,Climate change,There cannot be lasting security without climate security. There cannot be climate security without climate justice.
M_52,M_52_global_health,Global health,We call for equitable access to vaccines and healthcare technologies and for strengthening health systems in the most vulnerable countries.
M_52,M_52_migration,Migration,"The war in neighboring Sudan has pushed more than 27,000 refugees to settle around the city of Birau alone."
M_52,M_52_ai_digital_transformation,AI / digital transformation,"The global digital compact must become a reality, affordable connectivity, skills transfer, data protection, and a governance of AI."
M_52,M_52_human_rights,Human rights,The wounds left behind by colonization are still being felt on our continent. Reparations are not simply reopening a feud of the past.
M_53,M_53_migration,Migration,So this means that it went from being uncontrolled migration and turned into huge illegal migration... women and children ending up orphaned.
M_53,M_53_climate_change,Climate change,This strategic canal for the free world once again is suffering the consequences of climate change.
M_53,M_53_peace_and_security,Peace and security,That is why we believe that the war in Ukraine must end through dialogue and formal diplomacy in the Middle East.
M_53,M_53_development_sdgs,Development / SDGs,Panama is a global leader in the conservation of biodiversity and the cultural legacy as a basis for our sustainable development.
M_53,M_53_other,Other,"Today, I am announcing that Panama will lead internationally an effort to recognise the universal rights of nature."
M_54,M_54_climate_change,Climate change,Ethiopia will proudly host COP32 in November 2027.
M_54,M_54_ai_digital_transformation,AI / digital transformation,Will the age of the AI become another instrument of global inequality? Or will it be a catalyst for our collective growth?
M_54,M_54_inequality,Inequality,"While wells accumulate in the hands of the few, billions endure the downside of structural deprivation."
M_54,M_54_food_security,Food security,We were able to produce an improved climate resilient wheat variety seed... Africa can feed itself.
